Month,Centername,Ber,Kinnow,Lime,Mandarin,Mosambi,Grape_t_seedless,Guava,Litchi,Bennet,Gulabkhas,Kesar,Mango_alphanso,Mango_chausa,Mango_dushehri,Mango_langra,Mango_safeda,Mango_totapari,Parkleman,Aonla,Apple_del_jk,Apple_royal_del_hp,Papaya,Pineapple,Pomegranate,Sapota,Banana
November,Patna,0,0,1500,3300,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8050,0,2750,0,14000,0,2000
November,Pune,0,0,5550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6750,0,1900,2000,6000,0,2500
November,Raipur,3850,0,4550,2100,3100,0,2600,0,0,0,0,0,0,0,0,0,0,0,2500,8500,0,1700,4550,10300,0,1050
November,Ranchi,0,0,2000,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,2800,4500,5500,2500,3100,6500,0,2700
November,Shimla,0,0,2400,3250,4100,0,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,3700,0,3400,0,2300
November,Srinagar,0,0,3200,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,3800,3200,12600,0,3500
November,Trivendrum,0,0,5500,3300,4400,0,4000,0,0,0,0,0,0,0,0,0,0,0,4500,7500,10500,1800,2800,13000,3600,3500
November,Varanasi,0,0,3200,5500,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500,6200,1900,3300,6500,0,2100
December,Bangaluru,0,0,1250,4000,4500,5000,4000,0,0,0,0,0,0,0,0,0,0,0,4500,9000,0,2000,3000,13000,4000,1000
December,Chandigarh,0,2000,2600,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,0,1900,2400,5700,0,2000
December,Chennai,0,0,2500,3300,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,4300,0,15000,2200,3500,12000,3300,2500
December,Dehradun,0,1800,1650,2500,0,3000,2000,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,5000,1600,1200
December,Hyderabad,1100,0,1600,1900,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,3000,0,7200,2000,3000,0,0,2500
December,Jammu,0,3000,2500,4500,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,3200,4500,11500,0,2800
December,Kolkata,0,0,2750,3450,4050,9000,3500,0,0,0,0,0,0,0,0,0,0,0,3250,6625,9000,2900,1950,10500,0,1700
December,Lucknow,0,0,2400,0,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,6062,0,1850,1500,4850,0,1150
December,Mumbai,2000,0,1200,3100,3100,6500,2400,0,0,0,0,0,0,0,0,0,0,0,4000,10000,6500,1800,3000,12000,2900,3100
December,Nasik,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,9000,0,1200
December,Patna,0,2800,2200,3100,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,1850,0,8000,0,1500
December,Pune,0,0,3050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7750,0,1600,2300,6500,0,2500
December,Ranchi,0,0,2000,1900,2500,8000,0,0,0,0,0,0,0,0,0,0,0,0,2500,4000,5000,2700,3200,6700,0,2200
December,Shimla,0,2100,1900,2350,3300,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3625,0,4825,0,2400
December,Srinagar,0,0,3300,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,4000,0,12800,0,3700
December,Trivendrum,0,0,4500,4400,5000,0,6500,0,0,0,0,0,0,0,0,0,0,0,4000,8500,0,2600,3600,12000,2700,2700
December,Varanasi,0,4200,3000,3800,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,6000,1900,2900,6000,0,2200
